driverId,constructorId,number,grid,position,positionText,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,FastestLapSpeed,statusId
kobayashi,sauber,23,16,22,R,0,11,,,4.0,20.0,2:05.044,181.347,Hydraulics
grassi,virgin,25,22,23,R,0,2,,,2.0,23.0,2:09.361,175.295,Hydraulics
chandhok,hrt,20,24,24,R,0,1,,,,,,,Accident
button,mclaren,1,4,1,1,25,58,1:33:36.531,5616531.0,52.0,6.0,1:29.291,213.804,Finished
kubica,renault,11,9,2,2,18,58,+12.034,5628565.0,52.0,8.0,1:29.570,213.138,Finished
massa,ferrari,7,5,3,3,15,58,+14.488,5631019.0,52.0,7.0,1:29.537,213.216,Finished
alonso,ferrari,8,3,4,4,12,58,+16.304,5632835.0,47.0,10.0,1:29.707,212.812,Finished
rosberg,mercedes,4,6,5,5,10,58,+16.683,5633214.0,53.0,2.0,1:28.489,215.742,Finished
hamilton,mclaren,2,11,6,6,8,58,+29.898,5646429.0,47.0,3.0,1:28.506,215.700,Finished
liuzzi,force_india,15,13,7,7,6,58,+59.847,5676378.0,55.0,9.0,1:29.685,212.865,Finished
barrichello,williams,9,8,8,8,4,58,+1:00.536,5677067.0,58.0,5.0,1:29.210,213.998,Finished
webber,red_bull,6,2,9,9,2,58,+1:07.319,5683850.0,47.0,1.0,1:28.358,216.061,Finished
michael_schumacher,mercedes,3,7,10,10,1,58,+1:09.391,5685922.0,58.0,4.0,1:29.185,214.058,Finished
alguersuari,toro_rosso,17,17,11,11,0,58,+1:11.301,5687832.0,49.0,11.0,1:29.713,212.798,Finished
rosa,sauber,22,14,12,12,0,58,+1:14.084,5690615.0,54.0,12.0,1:30.587,210.745,Finished
kovalainen,lotus_racing,19,19,13,13,0,56,,,52.0,14.0,1:33.638,203.878,+2 Laps
