driverId,constructorId,number,position,Q1,Q2,Q3
hamilton,mercedes,44,1,1:18.188,1:17.825,1:19.273
max_verstappen,red_bull,33,2,1:18.297,1:17.938,1:20.489
sainz,mclaren,55,3,1:18.590,1:18.836,1:20.671
bottas,mercedes,77,4,1:18.791,1:18.657,1:20.701
ocon,renault,31,5,1:19.687,1:18.764,1:20.922
norris,mclaren,4,6,1:18.504,1:18.448,1:20.925
albon,red_bull,23,7,1:20.882,1:19.014,1:21.011
gasly,alphatauri,10,8,1:20.192,1:18.744,1:21.028
ricciardo,renault,3,9,1:19.662,1:19.229,1:21.192
vettel,ferrari,5,10,1:20.243,1:19.545,1:21.651
max_verstappen,red_bull,33,1,1:30.499,1:30.318,1:28.997
hamilton,mercedes,44,2,1:30.617,1:30.085,1:29.385
bottas,mercedes,77,3,1:31.200,1:30.186,1:29.586
leclerc,ferrari,16,4,1:30.691,1:30.010,1:29.678
gasly,alphatauri,10,5,1:30.848,1:30.513,1:29.809
ricciardo,mclaren,3,6,1:30.795,1:30.222,1:29.927
norris,mclaren,4,7,1:30.902,1:30.099,1:29.974
sainz,ferrari,55,8,1:31.653,1:30.009,1:30.215
alonso,alpine,14,9,1:30.863,1:30.595,1:30.249
stroll,aston_martin,18,10,1:31.261,1:30.624,1:30.601
perez,red_bull,11,11,1:31.165,1:30.659,
giovinazzi,alfa,99,12,1:30.998,1:30.708,
tsunoda,alphatauri,22,13,1:30.607,1:31.203,
raikkonen,alfa,7,14,1:31.547,1:31.238,
russell,williams,63,15,1:31.316,1:33.430,
ocon,alpine,31,16,1:31.724,,
latifi,williams,6,17,1:31.936,,
vettel,aston_martin,5,18,1:32.056,,
mick_schumacher,haas,47,19,1:32.449,,
mazepin,haas,9,20,1:33.273,,
hamilton,mercedes,44,1,1:14.823,1:14.817,1:14.411
perez,red_bull,11,2,1:15.395,1:14.716,1:14.446
max_verstappen,red_bull,33,3,1:15.109,1:14.884,1:14.498
leclerc,ferrari,16,4,1:15.413,1:14.808,1:14.740
gasly,alphatauri,10,5,1:15.548,1:14.927,1:14.790
ricciardo,mclaren,3,6,1:15.669,1:15.033,1:14.826
norris,mclaren,4,7,1:15.009,1:14.718,1:14.875
bottas,mercedes,77,8,1:14.672,1:14.905,1:14.898
ocon,alpine,31,9,1:15.385,1:15.117,1:15.210
stroll,aston_martin,18,10,1:15.522,1:15.138,
leclerc,ferrari,16,1,1:31.471,1:30.932,1:30.558
max_verstappen,red_bull,1,2,1:31.785,1:30.757,1:30.681
sainz,ferrari,55,3,1:31.567,1:30.787,1:30.687
perez,red_bull,11,4,1:32.311,1:31.008,1:30.921
hamilton,mercedes,44,5,1:32.285,1:31.048,1:31.238
bottas,alfa,77,6,1:31.919,1:31.717,1:31.560
kevin_magnussen,haas,20,7,1:31.955,1:31.461,1:31.808
alonso,alpine,14,8,1:32.346,1:31.621,1:32.195
russell,mercedes,63,9,1:32.269,1:31.252,1:32.216
gasly,alphatauri,10,10,1:32.096,1:31.635,1:32.338
ocon,alpine,31,11,1:32.041,1:31.782,
mick_schumacher,haas,47,12,1:32.380,1:31.998,
norris,mclaren,4,13,1:32.239,1:32.008,
albon,williams,23,14,1:32.726,1:32.664,
zhou,alfa,24,15,1:32.493,1:33.543,
tsunoda,alphatauri,22,16,1:32.750,,
hulkenberg,aston_martin,27,17,1:32.777,,
ricciardo,mclaren,3,18,1:32.945,,
stroll,aston_martin,18,19,1:33.032,,
latifi,williams,6,20,1:33.634,,
perez,red_bull,11,1,1:29.705,1:28.924,1:28.200
leclerc,ferrari,16,2,1:29.039,1:28.780,1:28.225
sainz,ferrari,55,3,1:28.855,1:28.686,1:28.402
max_verstappen,red_bull,1,4,1:28.928,1:28.945,1:28.461
ocon,alpine,31,5,1:30.093,1:29.584,1:29.068
russell,mercedes,63,6,1:29.680,1:29.618,1:29.104
alonso,alpine,14,7,1:29.978,1:29.295,1:29.147
bottas,alfa,77,8,1:29.683,1:29.404,1:29.183
gasly,alphatauri,10,9,1:29.891,1:29.418,1:29.254
kevin_magnussen,haas,20,10,1:29.831,1:29.546,1:29.588
