driverId,points,position,positionText,wins
liuzzi,12.0,11,11,0
barrichello,7.0,12,12,0
petrov,6.0,13,13,0
buemi,5.0,14,14,0
alguersuari,3.0,15,15,0
kobayashi,1.0,16,16,0
hulkenberg,1.0,17,17,0
rosa,0.0,18,18,0
kovalainen,0.0,19,19,0
chandhok,0.0,20,20,0
grassi,0.0,21,21,0
trulli,0.0,22,22,0
bruno_senna,0.0,23,23,0
glock,0.0,24,24,0
hamilton,127.0,1,1,2
button,121.0,2,2,2
vettel,115.0,3,3,2
webber,103.0,4,4,2
alonso,98.0,5,5,1
kubica,83.0,6,6,0
rosberg,75.0,7,7,0
massa,67.0,8,8,0
michael_schumacher,34.0,9,9,0
sutil,31.0,10,10,0
barrichello,19.0,11,11,0
liuzzi,12.0,12,12,0
kobayashi,7.0,13,13,0
buemi,7.0,14,14,0
petrov,6.0,15,15,0
alguersuari,3.0,16,16,0
hulkenberg,1.0,17,17,0
rosa,0.0,18,18,0
kovalainen,0.0,19,19,0
chandhok,0.0,20,20,0
grassi,0.0,21,21,0
trulli,0.0,22,22,0
bruno_senna,0.0,23,23,0
glock,0.0,24,24,0
hamilton,145.0,1,1,2
button,133.0,2,2,2
webber,128.0,3,3,3
vettel,121.0,4,4,2
alonso,98.0,5,5,1
rosberg,90.0,6,6,0
kubica,83.0,7,7,0
massa,67.0,8,8,0
michael_schumacher,36.0,9,9,0
sutil,35.0,10,10,0
barrichello,29.0,11,11,0
kobayashi,15.0,12,12,0
liuzzi,12.0,13,13,0
buemi,7.0,14,14,0
petrov,6.0,15,15,0
alguersuari,3.0,16,16,0
hulkenberg,2.0,17,17,0
rosa,0.0,18,18,0
kovalainen,0.0,19,19,0
chandhok,0.0,20,20,0
grassi,0.0,21,21,0
trulli,0.0,22,22,0
bruno_senna,0.0,23,23,0
glock,0.0,24,24,0
yamamoto,0.0,25,25,0
hamilton,157.0,1,1,2
button,143.0,2,2,2
webber,136.0,3,3,3
vettel,136.0,4,4,2
alonso,123.0,5,5,2
rosberg,94.0,6,6,0
kubica,89.0,7,7,0
massa,85.0,8,8,0
michael_schumacher,38.0,9,9,0
sutil,35.0,10,10,0
barrichello,29.0,11,11,0
kobayashi,15.0,12,12,0
liuzzi,12.0,13,13,0
petrov,7.0,14,14,0
buemi,7.0,15,15,0
alguersuari,3.0,16,16,0
hulkenberg,2.0,17,17,0
rosa,0.0,18,18,0
kovalainen,0.0,19,19,0
chandhok,0.0,20,20,0
grassi,0.0,21,21,0
trulli,0.0,22,22,0
bruno_senna,0.0,23,23,0
glock,0.0,24,24,0
yamamoto,0.0,25,25,0
webber,161.0,1,1,4
hamilton,157.0,2,2,2
vettel,151.0,3,3,2
button,147.0,4,4,2
alonso,141.0,5,5,2
massa,97.0,6,6,0
rosberg,94.0,7,7,0
kubica,89.0,8,8,0
michael_schumacher,38.0,9,9,0
sutil,35.0,10,10,0
barrichello,30.0,11,11,0
petrov,17.0,12,12,0
kobayashi,17.0,13,13,0
liuzzi,12.0,14,14,0
hulkenberg,10.0,15,15,0
buemi,7.0,16,16,0
rosa,6.0,17,17,0
alguersuari,3.0,18,18,0
kovalainen,0.0,19,19,0
chandhok,0.0,20,20,0
grassi,0.0,21,21,0
trulli,0.0,22,22,0
bruno_senna,0.0,23,23,0
glock,0.0,24,24,0
yamamoto,0.0,25,25,0
hamilton,182.0,1,1,3
webber,179.0,2,2,4
vettel,151.0,3,3,2
button,147.0,4,4,2
alonso,141.0,5,5,2
massa,109.0,6,6,0
kubica,104.0,7,7,0
rosberg,102.0,8,8,0
sutil,45.0,9,9,0
michael_schumacher,44.0,10,10,0
barrichello,30.0,11,11,0
kobayashi,21.0,12,12,0
petrov,19.0,13,13,0
liuzzi,13.0,14,14,0
hulkenberg,10.0,15,15,0
buemi,7.0,16,16,0
rosa,6.0,17,17,0
alguersuari,3.0,18,18,0
kovalainen,0.0,19,19,0
chandhok,0.0,20,20,0
grassi,0.0,21,21,0
trulli,0.0,22,22,0
bruno_senna,0.0,23,23,0
glock,0.0,24,24,0
yamamoto,0.0,25,25,0
webber,187.0,1,1,4
hamilton,182.0,2,2,3
alonso,166.0,3,3,3
button,165.0,4,4,2
vettel,163.0,5,5,2
massa,124.0,6,6,0
rosberg,112.0,7,7,0
kubica,108.0,8,8,0
michael_schumacher,46.0,9,9,0
sutil,45.0,10,10,0
barrichello,31.0,11,11,0
kobayashi,21.0,12,12,0
petrov,19.0,13,13,0
hulkenberg,16.0,14,14,0
liuzzi,13.0,15,15,0
buemi,7.0,16,16,0
rosa,6.0,17,17,0
alguersuari,3.0,18,18,0
kovalainen,0.0,19,19,0
chandhok,0.0,20,20,0
grassi,0.0,21,21,0
trulli,0.0,22,22,0
bruno_senna,0.0,23,23,0
glock,0.0,24,24,0
yamamoto,0.0,25,25,0
webber,202.0,1,1,4
alonso,191.0,2,2,4
hamilton,182.0,3,3,3
vettel,181.0,4,4,2
button,177.0,5,5,2
massa,128.0,6,6,0
rosberg,122.0,7,7,0
kubica,114.0,8,8,0
sutil,47.0,9,9,0
michael_schumacher,46.0,10,10,0
barrichello,39.0,11,11,0
kobayashi,21.0,12,12,0
petrov,19.0,13,13,0
hulkenberg,17.0,14,14,0
liuzzi,13.0,15,15,0
buemi,7.0,16,16,0
rosa,6.0,17,17,0
alguersuari,3.0,18,18,0
kovalainen,0.0,19,19,0
chandhok,0.0,20,20,0
grassi,0.0,21,21,0
trulli,0.0,22,22,0
bruno_senna,0.0,23,23,0
glock,0.0,24,24,0
